hectare,long,lat,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,geometry,hectare_freq
22E,-73.965653735,40.78335187,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,POINT (-73.965653735 40.78335187),2
22F,-73.964393158,40.78237687066667,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.3333333333333333,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.8,0.0,POINT (-73.964393158 40.78237687066667),15
22G,-73.96329211125,40.78197607125,0.375,0.125,0.25,0.375,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.625,0.25,POINT (-73.96329211125 40.78197607125),8
22H,-73.96239114,40.78141686,0.25,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.0,POINT (-73.96239114 40.78141686),4
22I,-73.96114880333333,40.78145397,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,POINT (-73.96114880333333 40.78145397),3
23A,-73.968815134,40.785145899999996,0.2,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,POINT (-73.968815134 40.785145899999996),5
23B,-73.96787347285715,40.78470577571428,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.0,0.2857142857142857,0.5714285714285714,POINT (-73.96787347285715 40.78470577571428),7
23C,-73.966557212,40.784334034,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,POINT (-73.966557212 40.784334034),5
23D,-73.96612629,40.78440856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,POINT (-73.96612629 40.78440856),1
23E,-73.96472842,40.78396118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,POINT (-73.96472842 40.78396118),1
23F,-73.963854268,40.783000466,0.4,0.0,0.2,0.4,0.6,0.0,0.2,0.0,0.0,0.6,0.0,0.8,0.2,POINT (-73.963854268 40.783000466),5
23H,-73.96133565,40.78188769,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.96133565 40.78188769),1
23I,-73.960670975,40.7819434,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.960670975 40.7819434),4
24A,-73.96816869285715,40.786129724285715,0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,POINT (-73.96816869285715 40.786129724285715),7
24B,-73.96709759,40.78541193,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,POINT (-73.96709759 40.78541193),1
24I,-73.96002043,40.78287729,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.96002043 40.78287729),1
25A,-73.96746907166667,40.786949963333335,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,POINT (-73.96746907166667 40.786949963333335),6
25B,-73.966833665,40.78707091,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,POINT (-73.966833665 40.78707091),2
25I,-73.959523885,40.783535814,0.3,0.2,0.3,0.2,0.1,0.0,0.0,0.0,0.3,0.4,0.2,0.1,0.1,POINT (-73.959523885 40.783535814),10
26A,-73.96720395125,40.78761002,0.0,0.5,0.125,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,POINT (-73.96720395125 40.78761002),8
26B,-73.96629396,40.78785023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,POINT (-73.96629396 40.78785023),1
26I,-73.959220565,40.78436137875,0.0,0.0,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.375,0.125,0.625,0.0,POINT (-73.959220565 40.78436137875),8
27A,-73.96653770666667,40.78860671333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,POINT (-73.96653770666667 40.78860671333333),3
27B,-73.96570717,40.78871364,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,POINT (-73.96570717 40.78871364),2
27I,-73.9584383225,40.7851936425,0.375,0.0,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.625,POINT (-73.9584383225 40.7851936425),8
28A,-73.96622817666666,40.78909159,0.3333333333333333,0.16666666666666666,0.0,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.16666666666666666,POINT (-73.96622817666666 40.78909159),6
28B,-73.96501569666667,40.78903334666666,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.96501569666667 40.78903334666666),3
28C,-73.964187395,40.788639775,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.5,POINT (-73.964187395 40.788639775),4
28D,-73.96275836125,40.788460470000004,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.5,POINT (-73.96275836125 40.788460470000004),8
28I,-73.958143975,40.785613229999996,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,POINT (-73.958143975 40.785613229999996),2
29A,-73.965163865,40.790375265,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,POINT (-73.965163865 40.790375265),4
29B,-73.96408525285713,40.789880417142854,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,POINT (-73.96408525285713 40.789880417142854),7
29C,-73.9633689925,40.789077985,0.375,0.125,0.25,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.375,POINT (-73.9633689925 40.789077985),8
29D,-73.96241687625,40.78869162125,0.0,0.0,0.125,0.25,0.75,0.0,0.0,0.0,0.0,0.125,0.125,0.75,0.125,POINT (-73.96241687625 40.78869162125),8
29H,-73.957644905,40.787466025,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,POINT (-73.957644905 40.787466025),2
29I,-73.95765302,40.78686595,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-73.95765302 40.78686595),1
30A,-73.96475312800001,40.790998423999994,0.4,0.0,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.8,POINT (-73.96475312800001 40.790998423999994),5
30B,-73.96383513095238,40.79056890571429,0.3333333333333333,0.047619047619047616,0.42857142857142855,0.47619047619047616,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.047619047619047616,0.5714285714285714,POINT (-73.96383513095238 40.79056890571429),21
30C,-73.96276855333333,40.790518660000004,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,POINT (-73.96276855333333 40.790518660000004),3
30D,-73.96142729,40.789185695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,POINT (-73.96142729 40.789185695),2
30E,-73.960775415,40.789070865,0.0,0.25,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.25,POINT (-73.960775415 40.789070865),4
