,long,lat,geometry,approaches,indifferent,runs_from,running,chasing,climbing,eating,foraging,kuks,quaas,moans,tail_flags,tail_twitches,nearbuilding,neargarden,neargrass,nearpedestrian,nearwater,nearwoods
742,-73.9745859998733,40.7671634885616,POINT (-73.9745859998733 40.7671634885616),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
743,-73.9702541471417,40.7698584231797,POINT (-73.9702541471417 40.7698584231797),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
744,-73.9512120949478,40.7947945266515,POINT (-73.9512120949478 40.7947945266515),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False
745,-73.9562469727195,40.79685907654,POINT (-73.9562469727195 40.79685907654),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
746,-73.974451175321,40.7701294635264,POINT (-73.974451175321 40.7701294635264),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
747,-73.9566785136491,40.7963368332834,POINT (-73.9566785136491 40.7963368332834),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
748,-73.9570891696776,40.7935448802241,POINT (-73.9570891696776 40.7935448802241),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
749,-73.9705115189429,40.7698395577068,POINT (-73.9705115189429 40.7698395577068),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
750,-73.9589096782789,40.7939698757903,POINT (-73.9589096782789 40.7939698757903),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
751,-73.9668140804066,40.7768100147333,POINT (-73.9668140804066 40.7768100147333),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
752,-73.96859351775,40.7735537139641,POINT (-73.96859351775 40.7735537139641),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
753,-73.959019987128,40.7912546691805,POINT (-73.959019987128 40.7912546691805),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
754,-73.9604089940153,40.7910028063138,POINT (-73.9604089940153 40.7910028063138),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
755,-73.9709534894049,40.7765964740768,POINT (-73.9709534894049 40.7765964740768),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
756,-73.9612900553755,40.7912917391867,POINT (-73.9612900553755 40.7912917391867),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
757,-73.9766653663947,40.7688767713012,POINT (-73.9766653663947 40.7688767713012),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
758,-73.964280573021,40.777830911491,POINT (-73.964280573021 40.777830911491),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
759,-73.9552146665714,40.7892909102377,POINT (-73.9552146665714 40.7892909102377),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
760,-73.9603302382958,40.7910100435196,POINT (-73.9603302382958 40.7910100435196),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
761,-73.9533319519277,40.7933647909449,POINT (-73.9533319519277 40.7933647909449),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
762,-73.9755974646331,40.7673435798289,POINT (-73.9755974646331 40.7673435798289),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
763,-73.9565197137317,40.7986011403785,POINT (-73.9565197137317 40.7986011403785),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
764,-73.9560396440844,40.7945080361909,POINT (-73.9560396440844 40.7945080361909),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
765,-73.9546201403481,40.7989423768656,POINT (-73.9546201403481 40.7989423768656),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
766,-73.9694169352433,40.7744408293858,POINT (-73.9694169352433 40.7744408293858),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
767,-73.9712034320741,40.7764415506669,POINT (-73.9712034320741 40.7764415506669),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
768,-73.9671813866177,40.7838640032038,POINT (-73.9671813866177 40.7838640032038),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
769,-73.980919134781,40.7683772453336,POINT (-73.980919134781 40.7683772453336),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
770,-73.9595955824812,40.7933047943534,POINT (-73.9595955824812 40.7933047943534),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
771,-73.9674724790652,40.7768771349868,POINT (-73.9674724790652 40.7768771349868),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,True
772,-73.9680522379372,40.772389813511,POINT (-73.9680522379372 40.772389813511),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
773,-73.9714907235676,40.774058386152,POINT (-73.9714907235676 40.774058386152),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False
774,-73.9562105506291,40.7966991197909,POINT (-73.9562105506291 40.7966991197909),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
775,-73.9554327683595,40.7953846381499,POINT (-73.9554327683595 40.7953846381499),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
776,-73.9699285688296,40.7774474015189,POINT (-73.9699285688296 40.7774474015189),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
777,-73.9701824376506,40.7763703306736,POINT (-73.9701824376506 40.7763703306736),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
778,-73.954554245377,40.7983935730557,POINT (-73.954554245377 40.7983935730557),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
779,-73.9747288122551,40.7659918747507,POINT (-73.9747288122551 40.7659918747507),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
780,-73.9689939368647,40.7740824773353,POINT (-73.9689939368647 40.7740824773353),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
781,-73.9765758043111,40.7713803154032,POINT (-73.9765758043111 40.7713803154032),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
782,-73.9643032554205,40.7794514526463,POINT (-73.9643032554205 40.7794514526463),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
783,-73.9588809150045,40.7847231576181,POINT (-73.9588809150045 40.7847231576181),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
784,-73.9774928245781,40.7720464606979,POINT (-73.9774928245781 40.7720464606979),0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False
785,-73.9754527701832,40.7656088463928,POINT (-73.9754527701832 40.7656088463928),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False
786,-73.969560591279,40.7705619840715,POINT (-73.969560591279 40.7705619840715),0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False
787,-73.9716624574422,40.7762037110101,POINT (-73.9716624574422 40.7762037110101),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True
788,-73.9773083616259,40.7710535931636,POINT (-73.9773083616259 40.7710535931636),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
789,-73.9611300905602,40.7918743735665,POINT (-73.9611300905602 40.7918743735665),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
790,-73.9563662963703,40.7991952101949,POINT (-73.9563662963703 40.7991952101949),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True
791,-73.9618591510932,40.7921343738001,POINT (-73.9618591510932 40.7921343738001),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
792,-73.9581326554206,40.7918074743129,POINT (-73.9581326554206 40.7918074743129),0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,False,False
